"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	60105
1000000000000	60442
2000000000000	60363
3000000000000	60541
4000000000000	60869
5000000000000	60750
6000000000000	60679
7000000000000	60302
8000000000000	60713
9000000000000	60113
10000000000000	60800
11000000000000	60334
12000000000000	60378
13000000000000	60177
14000000000000	60236
15000000000000	60828
16000000000000	60762
17000000000000	60438
18000000000000	60473
19000000000000	60303
20000000000000	60154
21000000000000	60603
22000000000000	60425
23000000000000	60785
24000000000000	60651
25000000000000	60456
26000000000000	60145
27000000000000	60597
28000000000000	60325
29000000000000	60446
