"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	2135175
1000000000000	2130848
2000000000000	2132715
3000000000000	2134578
4000000000000	2132606
5000000000000	2135179
6000000000000	2133569
7000000000000	2136066
8000000000000	2133230
9000000000000	2134788
10000000000000	2133836
11000000000000	2134397
12000000000000	2133965
13000000000000	2133228
14000000000000	2131828
15000000000000	2133506
16000000000000	2131290
17000000000000	2133931
18000000000000	2132923
19000000000000	2131756
20000000000000	2131985
21000000000000	2131397
22000000000000	2129770
23000000000000	2132459
24000000000000	2133835
25000000000000	2134856
26000000000000	2131340
27000000000000	2131476
28000000000000	2132518
29000000000000	2132693
