"Time (ps)"	"Channel 1 - Counts per bin"
0	479008
1000000000000	479469
2000000000000	478855
3000000000000	479150
4000000000000	479403
5000000000000	478061
6000000000000	479991
7000000000000	479978
8000000000000	478504
9000000000000	478731
10000000000000	478926
11000000000000	479767
12000000000000	479954
13000000000000	478078
14000000000000	478528
15000000000000	479989
16000000000000	479103
17000000000000	479285
18000000000000	479829
19000000000000	479285
20000000000000	479749
21000000000000	479780
22000000000000	478648
23000000000000	478476
24000000000000	478256
25000000000000	478201
26000000000000	479747
27000000000000	480404
28000000000000	479985
29000000000000	479413
