"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	1613
1000000000000	1597
2000000000000	1612
3000000000000	1685
4000000000000	1550
5000000000000	1590
6000000000000	1635
7000000000000	1606
8000000000000	1647
9000000000000	1611
10000000000000	1555
11000000000000	1606
12000000000000	1543
13000000000000	1603
14000000000000	1661
15000000000000	1683
16000000000000	1695
17000000000000	1662
18000000000000	1662
19000000000000	1574
20000000000000	1578
21000000000000	1602
22000000000000	1596
23000000000000	1676
24000000000000	1680
25000000000000	1656
26000000000000	1587
27000000000000	1672
28000000000000	1582
29000000000000	1585
