"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	11123
1000000000000	11348
2000000000000	11205
3000000000000	11077
4000000000000	11338
5000000000000	11170
6000000000000	11225
7000000000000	11104
8000000000000	11225
9000000000000	11303
10000000000000	11054
11000000000000	11129
12000000000000	11299
13000000000000	11399
14000000000000	11196
15000000000000	10975
16000000000000	11046
17000000000000	11193
18000000000000	11265
19000000000000	11132
20000000000000	11078
21000000000000	11114
22000000000000	11264
23000000000000	11248
24000000000000	11212
25000000000000	11270
26000000000000	11106
27000000000000	11230
28000000000000	11337
29000000000000	11055
