"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	60708
1000000000000	60559
2000000000000	60378
3000000000000	60302
4000000000000	60310
5000000000000	60196
6000000000000	60258
7000000000000	60139
8000000000000	60554
9000000000000	60534
10000000000000	60437
11000000000000	60773
12000000000000	60694
13000000000000	60657
14000000000000	59971
15000000000000	60265
16000000000000	60024
17000000000000	60392
18000000000000	60369
19000000000000	59880
20000000000000	60430
21000000000000	60873
22000000000000	60575
23000000000000	60925
24000000000000	60555
25000000000000	60756
26000000000000	60003
27000000000000	60245
28000000000000	60597
29000000000000	60410
