"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	11212
1000000000000	11285
2000000000000	11049
3000000000000	11114
4000000000000	11222
5000000000000	11162
6000000000000	11178
7000000000000	11104
8000000000000	11076
9000000000000	11149
10000000000000	11095
11000000000000	11003
12000000000000	10924
13000000000000	11056
14000000000000	10962
15000000000000	11010
16000000000000	11073
17000000000000	11210
18000000000000	11192
19000000000000	11117
20000000000000	11112
21000000000000	11073
22000000000000	11195
23000000000000	11241
24000000000000	11330
25000000000000	11194
26000000000000	11270
27000000000000	11231
28000000000000	11216
29000000000000	11248
