"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	355735
1000000000000	356682
2000000000000	355741
3000000000000	355623
4000000000000	356886
5000000000000	357034
6000000000000	355919
7000000000000	355772
8000000000000	357202
9000000000000	356234
10000000000000	355131
11000000000000	355390
12000000000000	356927
13000000000000	356107
14000000000000	355677
15000000000000	355121
16000000000000	355634
17000000000000	355368
18000000000000	355727
19000000000000	354725
20000000000000	355265
21000000000000	356119
22000000000000	355478
23000000000000	356532
24000000000000	356443
25000000000000	355922
26000000000000	356431
27000000000000	356110
28000000000000	356775
29000000000000	356198
