"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	1601
1000000000000	1662
2000000000000	1612
3000000000000	1634
4000000000000	1605
5000000000000	1643
6000000000000	1547
7000000000000	1602
8000000000000	1591
9000000000000	1548
10000000000000	1652
11000000000000	1604
12000000000000	1615
13000000000000	1723
14000000000000	1624
15000000000000	1680
16000000000000	1620
17000000000000	1648
18000000000000	1604
19000000000000	1625
20000000000000	1558
21000000000000	1567
22000000000000	1636
23000000000000	1589
24000000000000	1666
25000000000000	1580
26000000000000	1667
27000000000000	1607
28000000000000	1698
29000000000000	1621
