"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	480785
1000000000000	480903
2000000000000	479834
3000000000000	480663
4000000000000	481230
5000000000000	481052
6000000000000	480869
7000000000000	481683
8000000000000	481319
9000000000000	480286
10000000000000	480497
11000000000000	481782
12000000000000	480273
13000000000000	479895
14000000000000	481294
15000000000000	480180
16000000000000	480871
17000000000000	482073
18000000000000	480817
19000000000000	479738
20000000000000	481969
21000000000000	480485
22000000000000	481142
23000000000000	480934
24000000000000	481607
25000000000000	482056
26000000000000	480869
27000000000000	481048
28000000000000	480472
29000000000000	480593
