"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	355187
1000000000000	356272
2000000000000	355061
3000000000000	357291
4000000000000	356734
5000000000000	356340
6000000000000	356582
7000000000000	356818
8000000000000	355424
9000000000000	355457
10000000000000	356684
11000000000000	357233
12000000000000	355906
13000000000000	356637
14000000000000	356340
15000000000000	355119
16000000000000	356476
17000000000000	356512
18000000000000	356072
19000000000000	355101
20000000000000	355702
21000000000000	355077
22000000000000	355993
23000000000000	356194
24000000000000	357014
25000000000000	356603
26000000000000	356673
27000000000000	355582
28000000000000	355881
29000000000000	357695
