"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	2132537
1000000000000	2132265
2000000000000	2130662
3000000000000	2131436
4000000000000	2133960
5000000000000	2133092
6000000000000	2132432
7000000000000	2132320
8000000000000	2132779
9000000000000	2132840
10000000000000	2128991
11000000000000	2132191
12000000000000	2132661
13000000000000	2130435
14000000000000	2130758
15000000000000	2132793
16000000000000	2131828
17000000000000	2126457
18000000000000	2131928
19000000000000	2131509
20000000000000	2134451
21000000000000	2129398
22000000000000	2132234
23000000000000	2133223
24000000000000	2130400
25000000000000	2132655
26000000000000	2129873
27000000000000	2131270
28000000000000	2131514
29000000000000	2130532
