"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	2136187
1000000000000	2136618
2000000000000	2132921
3000000000000	2137876
4000000000000	2133783
5000000000000	2133962
6000000000000	2137828
7000000000000	2136046
8000000000000	2136229
9000000000000	2134060
10000000000000	2131247
11000000000000	2135487
12000000000000	2134374
13000000000000	2133770
14000000000000	2134815
15000000000000	2134444
16000000000000	2134786
17000000000000	2134790
18000000000000	2134295
19000000000000	2136332
20000000000000	2134541
21000000000000	2136624
22000000000000	2135620
23000000000000	2134257
24000000000000	2133483
25000000000000	2139542
26000000000000	2136612
27000000000000	2135251
28000000000000	2134885
29000000000000	2136322
