"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	11093
1000000000000	11170
2000000000000	11232
3000000000000	11149
4000000000000	11145
5000000000000	11150
6000000000000	11180
7000000000000	11338
8000000000000	11129
9000000000000	11070
10000000000000	11090
11000000000000	11276
12000000000000	11120
13000000000000	11297
14000000000000	11225
15000000000000	10903
16000000000000	11143
17000000000000	10972
18000000000000	11173
19000000000000	11154
20000000000000	11184
21000000000000	11273
22000000000000	11311
23000000000000	11160
24000000000000	11090
25000000000000	11206
26000000000000	11394
27000000000000	11078
28000000000000	11243
29000000000000	11197
