"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	2134554
1000000000000	2136873
2000000000000	2137478
3000000000000	2134890
4000000000000	2137889
5000000000000	2136512
6000000000000	2135936
7000000000000	2136418
8000000000000	2136537
9000000000000	2139541
10000000000000	2136025
11000000000000	2137451
12000000000000	2138112
13000000000000	2136578
14000000000000	2139075
15000000000000	2137224
16000000000000	2137764
17000000000000	2139296
18000000000000	2138008
19000000000000	2135294
20000000000000	2136768
21000000000000	2136700
22000000000000	2136218
23000000000000	2137161
24000000000000	2133758
25000000000000	2136068
26000000000000	2137250
27000000000000	2136376
28000000000000	2137075
29000000000000	2135459
