"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	11233
1000000000000	11145
2000000000000	11289
3000000000000	10914
4000000000000	11278
5000000000000	11148
6000000000000	11088
7000000000000	11243
8000000000000	11076
9000000000000	11147
10000000000000	11109
11000000000000	11258
12000000000000	11137
13000000000000	11286
14000000000000	11304
15000000000000	11352
16000000000000	11344
17000000000000	11197
18000000000000	11149
19000000000000	11304
20000000000000	11330
21000000000000	10972
22000000000000	11127
23000000000000	11087
24000000000000	10949
25000000000000	11246
26000000000000	11040
27000000000000	11162
28000000000000	11409
29000000000000	11170
