"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	1633
1000000000000	1671
2000000000000	1603
3000000000000	1586
4000000000000	1667
5000000000000	1632
6000000000000	1656
7000000000000	1608
8000000000000	1553
9000000000000	1662
10000000000000	1657
11000000000000	1687
12000000000000	1611
13000000000000	1578
14000000000000	1635
15000000000000	1595
16000000000000	1597
17000000000000	1614
18000000000000	1590
19000000000000	1651
20000000000000	1661
21000000000000	1630
22000000000000	1657
23000000000000	1592
24000000000000	1595
25000000000000	1568
26000000000000	1639
27000000000000	1619
28000000000000	1582
29000000000000	1647
