"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	60585
1000000000000	60768
2000000000000	60581
3000000000000	60299
4000000000000	60546
5000000000000	60454
6000000000000	60289
7000000000000	60051
8000000000000	60236
9000000000000	60417
10000000000000	60461
11000000000000	60572
12000000000000	60182
13000000000000	60808
14000000000000	60129
15000000000000	60420
16000000000000	60304
17000000000000	60914
18000000000000	60977
19000000000000	60479
20000000000000	60910
21000000000000	60518
22000000000000	60431
23000000000000	60358
24000000000000	60673
25000000000000	60281
26000000000000	60528
27000000000000	60396
28000000000000	60301
29000000000000	60490
