"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	355481
1000000000000	355503
2000000000000	355028
3000000000000	356238
4000000000000	356248
5000000000000	356474
6000000000000	355024
7000000000000	355445
8000000000000	355411
9000000000000	355251
10000000000000	354836
11000000000000	356060
12000000000000	355004
13000000000000	355454
14000000000000	355659
15000000000000	355799
16000000000000	356270
17000000000000	355131
18000000000000	356136
19000000000000	356529
20000000000000	355936
21000000000000	356718
22000000000000	355521
23000000000000	356201
24000000000000	356098
25000000000000	355518
26000000000000	357059
27000000000000	355184
28000000000000	355652
29000000000000	355812
