"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	356404
1000000000000	356629
2000000000000	356298
3000000000000	356103
4000000000000	355822
5000000000000	357206
6000000000000	355475
7000000000000	355809
8000000000000	356295
9000000000000	355822
10000000000000	356382
11000000000000	355309
12000000000000	356463
13000000000000	355724
14000000000000	355951
15000000000000	355720
16000000000000	356082
17000000000000	357037
18000000000000	355597
19000000000000	356516
20000000000000	355538
21000000000000	355308
22000000000000	356029
23000000000000	355626
24000000000000	355601
25000000000000	355875
26000000000000	355880
27000000000000	356285
28000000000000	355475
29000000000000	354848
