"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	60537
1000000000000	60377
2000000000000	60832
3000000000000	60806
4000000000000	60509
5000000000000	61014
6000000000000	60734
7000000000000	61066
8000000000000	60527
9000000000000	60680
10000000000000	60609
11000000000000	60734
12000000000000	60440
13000000000000	60352
14000000000000	60645
15000000000000	60355
16000000000000	60565
17000000000000	60423
18000000000000	60534
19000000000000	61039
20000000000000	60488
21000000000000	60885
22000000000000	60808
23000000000000	61028
24000000000000	60514
25000000000000	60685
26000000000000	60642
27000000000000	60351
28000000000000	60356
29000000000000	60490
