"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	1641
1000000000000	1629
2000000000000	1572
3000000000000	1615
4000000000000	1657
5000000000000	1637
6000000000000	1663
7000000000000	1588
8000000000000	1597
9000000000000	1543
10000000000000	1643
11000000000000	1628
12000000000000	1579
13000000000000	1660
14000000000000	1651
15000000000000	1654
16000000000000	1623
17000000000000	1595
18000000000000	1600
19000000000000	1607
20000000000000	1631
21000000000000	1559
22000000000000	1583
23000000000000	1616
24000000000000	1657
25000000000000	1724
26000000000000	1717
27000000000000	1667
28000000000000	1693
29000000000000	1572
