"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	480919
1000000000000	481403
2000000000000	482712
3000000000000	480710
4000000000000	482094
5000000000000	480504
6000000000000	479754
7000000000000	480223
8000000000000	480282
9000000000000	481691
10000000000000	481674
11000000000000	480977
12000000000000	480190
13000000000000	481551
14000000000000	480851
15000000000000	480799
16000000000000	481085
17000000000000	481607
18000000000000	480827
19000000000000	480551
20000000000000	480785
21000000000000	480737
22000000000000	481215
23000000000000	480879
24000000000000	481399
25000000000000	480895
26000000000000	481108
27000000000000	481505
28000000000000	481751
29000000000000	481523
