"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	1627
1000000000000	1672
2000000000000	1595
3000000000000	1620
4000000000000	1626
5000000000000	1606
6000000000000	1657
7000000000000	1665
8000000000000	1745
9000000000000	1639
10000000000000	1557
11000000000000	1601
12000000000000	1679
13000000000000	1587
14000000000000	1651
15000000000000	1695
16000000000000	1655
17000000000000	1666
18000000000000	1689
19000000000000	1674
20000000000000	1663
21000000000000	1616
22000000000000	1600
23000000000000	1654
24000000000000	1614
25000000000000	1601
26000000000000	1599
27000000000000	1670
28000000000000	1629
29000000000000	1634
