"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	2133805
1000000000000	2130230
2000000000000	2131559
3000000000000	2132635
4000000000000	2134458
5000000000000	2130111
6000000000000	2135142
7000000000000	2131488
8000000000000	2134530
9000000000000	2130927
10000000000000	2130667
11000000000000	2133054
12000000000000	2131444
13000000000000	2131130
14000000000000	2129800
15000000000000	2131933
16000000000000	2133205
17000000000000	2133046
18000000000000	2132299
19000000000000	2134679
20000000000000	2129128
21000000000000	2133844
22000000000000	2131465
23000000000000	2132668
24000000000000	2132154
25000000000000	2132083
26000000000000	2130492
27000000000000	2131235
28000000000000	2131610
29000000000000	2131318
