"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	480090
1000000000000	482074
2000000000000	479582
3000000000000	480545
4000000000000	479000
5000000000000	478785
6000000000000	479247
7000000000000	481622
8000000000000	480504
9000000000000	478977
10000000000000	479559
11000000000000	479329
12000000000000	480126
13000000000000	479249
14000000000000	478262
15000000000000	480733
16000000000000	480524
17000000000000	480259
18000000000000	480314
19000000000000	480682
20000000000000	480558
21000000000000	479780
22000000000000	479057
23000000000000	479802
24000000000000	479281
25000000000000	480863
26000000000000	480106
27000000000000	479699
28000000000000	480014
29000000000000	478947
