"Time (ps)"	"Channel 1 - Count rate (counts/s)"
0	11209
1000000000000	11347
2000000000000	11246
3000000000000	11213
4000000000000	11090
5000000000000	11178
6000000000000	11178
7000000000000	10989
8000000000000	11284
9000000000000	11197
10000000000000	11227
11000000000000	11180
12000000000000	11136
13000000000000	11203
14000000000000	11230
15000000000000	11051
16000000000000	11088
17000000000000	11162
18000000000000	10909
19000000000000	11078
20000000000000	11109
21000000000000	11085
22000000000000	11160
23000000000000	11241
24000000000000	10900
25000000000000	11233
26000000000000	11155
27000000000000	11096
28000000000000	11113
29000000000000	11174
