"Time (ps)"	"Counts per bin"
0	77875804
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	30
5900	24422
6000	76032
6100	68586
6200	66397
6300	64931
6400	63515
6500	62022
6600	60343
6700	58806
6800	57716
6900	56234
7000	55463
7100	55344
7200	54206
7300	54019
7400	53571
7500	53236
7600	52831
7700	52437
7800	52297
7900	52369
8000	52421
8100	52555
8200	53525
8300	53601
8400	54171
8500	54704
8600	55617
8700	56102
8800	57265
8900	58631
9000	59490
9100	60907
9200	62466
9300	64106
9400	65455
9500	67837
9600	69548
9700	71710
9800	73804
9900	76080
10000	77902
10100	79019
10200	80142
10300	81922
10400	83635
10500	85018
10600	86547
10700	88411
10800	91132
10900	92328
11000	94042
11100	95693
11200	96604
11300	97665
11400	97331
11500	97143
11600	96599
11700	95439
11800	94607
11900	93349
12000	92836
12100	91999
12200	92205
12300	92750
12400	93139
12500	94086
12600	95611
12700	97181
12800	100107
12900	101929
13000	104404
13100	106265
13200	109215
13300	111225
13400	113123
13500	114385
13600	115653
13700	116629
13800	117799
13900	118471
14000	118569
14100	119916
14200	121249
14300	122334
14400	123086
14500	124563
14600	125877
14700	127469
14800	129920
14900	131299
15000	133830
15100	135893
15200	137769
15300	138830
15400	139639
15500	139751
15600	140661
15700	140474
15800	138724
15900	137661
16000	135377
16100	133261
16200	129898
16300	128649
16400	126690
16500	124590
16600	122113
16700	120097
16800	117450
16900	114446
17000	111808
17100	109161
17200	105268
17300	102719
17400	98350
17500	94398
17600	90878
17700	87224
17800	83796
17900	80512
18000	77585
18100	75533
18200	73041
18300	71646
18400	70554
18500	70286
18600	71385
18700	73875
18800	78957
18900	87998
19000	100778
19100	121719
19200	153084
19300	201585
19400	268340
19500	363651
19600	489852
19700	639385
19800	806183
19900	970147
20000	1106979
20100	1188683
20200	1204450
20300	1156274
20400	1051563
20500	916582
20600	768295
20700	623681
20800	494542
20900	384983
21000	297699
21100	228214
21200	173740
21300	134684
21400	104352
21500	82345
21600	64825
21700	52632
21800	43168
21900	36601
22000	31823
22100	28162
22200	25475
22300	24005
22400	22821
22500	21756
22600	21653
22700	20931
22800	20846
22900	21099
23000	21198
23100	21034
23200	21342
23300	21481
23400	21827
23500	22218
23600	22528
23700	22969
23800	23288
23900	23899
24000	25425
24100	26857
24200	29556
24300	33174
24400	38962
24500	48007
24600	60870
24700	79955
24800	104135
24900	136921
25000	177006
25100	224464
25200	275776
25300	334150
25400	398155
25500	458021
25600	510562
25700	546138
25800	558667
25900	564330
26000	582493
26100	629811
26200	713357
26300	839269
26400	986232
26500	1114412
26600	1162334
26700	1089498
26800	915101
26900	706138
27000	509068
27100	344325
27200	220836
27300	139507
27400	89856
27500	61093
27600	46044
27700	37458
27800	33669
27900	31961
28000	31323
28100	31486
28200	31605
28300	31866
28400	32333
28500	32813
28600	33425
28700	34242
28800	34937
28900	35627
29000	36684
29100	37563
29200	38318
29300	39759
29400	40949
29500	42177
29600	43396
29700	44286
29800	46058
29900	47132
30000	48366
30100	49907
30200	51145
30300	52403
30400	53528
30500	55063
30600	56750
30700	57587
30800	58219
30900	59771
31000	60520
31100	61686
31200	62122
31300	63416
31400	63215
31500	63314
31600	63200
31700	62861
31800	62172
31900	61187
32000	59839
32100	58801
32200	58286
32300	56682
32400	55989
32500	54545
32600	53765
32700	52857
32800	52436
32900	51761
33000	50985
33100	50629
33200	49644
33300	49455
33400	48752
33500	47597
33600	47032
33700	46207
33800	45110
33900	44568
34000	43463
34100	42660
34200	41246
34300	40961
34400	39563
34500	39102
34600	38730
34700	37987
34800	37445
34900	36678
35000	35993
35100	35751
35200	34732
35300	34107
35400	33581
35500	32941
35600	32329
35700	31856
35800	30851
35900	30298
36000	29472
36100	29608
36200	28404
36300	28169
36400	27496
36500	27111
36600	26585
36700	26439
36800	25947
36900	25802
37000	25305
37100	25348
37200	24948
37300	24714
37400	24725
37500	24350
37600	24406
37700	24525
37800	24545
37900	24626
38000	24582
38100	24738
38200	24595
38300	25141
38400	24922
38500	25273
38600	25340
38700	25894
38800	25788
38900	25644
39000	26444
39100	26253
39200	27177
39300	27258
39400	27674
39500	28169
39600	28453
39700	28897
39800	29577
39900	29294
40000	30417
40100	30734
40200	31243
40300	32223
40400	32618
40500	33664
40600	34674
40700	35612
40800	36573
40900	37326
41000	38587
41100	40143
41200	41947
41300	43386
41400	45845
41500	48163
41600	50858
41700	53948
41800	57425
41900	60701
42000	64090
42100	67588
42200	70622
42300	74513
42400	77724
42500	81243
42600	84596
42700	89089
42800	93966
42900	98959
43000	104265
43100	110010
43200	115342
43300	120106
43400	123768
43500	127022
43600	131038
43700	134306
43800	137694
43900	140817
44000	144183
44100	147708
44200	151234
44300	154764
44400	159658
44500	165023
44600	171725
44700	182847
44800	196486
44900	215108
45000	241252
45100	273755
45200	317554
45300	370663
45400	434855
45500	510465
45600	589488
45700	680142
45800	771040
45900	856880
46000	934914
46100	999838
46200	1045508
46300	1068634
46400	1063152
46500	1032375
46600	980778
46700	911374
46800	831361
46900	742373
47000	652038
47100	563806
47200	481925
47300	409144
47400	343211
47500	287154
47600	238397
47700	198923
47800	167071
47900	140816
48000	120171
48100	103628
48200	91136
48300	81909
48400	74026
48500	68598
48600	64670
48700	62163
48800	60861
