"Time (ps)"	"Counts per bin"
0	73580681
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	14
5900	23336
6000	71686
6100	65457
6200	63514
6300	61798
6400	59875
6500	58033
6600	56620
6700	54743
6800	52821
6900	51386
7000	50205
7100	49035
7200	47959
7300	47357
7400	46656
7500	45828
7600	45554
7700	44778
7800	44905
7900	45073
8000	45265
8100	45687
8200	46476
8300	47208
8400	47486
8500	48611
8600	49985
8700	51455
8800	53008
8900	55029
9000	56922
9100	59932
9200	62310
9300	65537
9400	68952
9500	72416
9600	75985
9700	80164
9800	83126
9900	86492
10000	89335
10100	91977
10200	94564
10300	96928
10400	99015
10500	101590
10600	103586
10700	106049
10800	109451
10900	110703
11000	112511
11100	114306
11200	115320
11300	114998
11400	114594
11500	113149
11600	110359
11700	106704
11800	103328
11900	99880
12000	97858
12100	94683
12200	92730
12300	91645
12400	90523
12500	90484
12600	90341
12700	91958
12800	93071
12900	94449
13000	97570
13100	99345
13200	101713
13300	104100
13400	106012
13500	106806
13600	107703
13700	107627
13800	107364
13900	107668
14000	107722
14100	108027
14200	107984
14300	109156
14400	110821
14500	112296
14600	114764
14700	117495
14800	120458
14900	124047
15000	126541
15100	131762
15200	134465
15300	137534
15400	139047
15500	140989
15600	141273
15700	140926
15800	139738
15900	137117
16000	135693
16100	133345
16200	130918
16300	127768
16400	125217
16500	124233
16600	121571
16700	118666
16800	115916
16900	112814
17000	109780
17100	105961
17200	101125
17300	97278
17400	93003
17500	87751
17600	84247
17700	79529
17800	75115
17900	71748
18000	69269
18100	66362
18200	64513
18300	63098
18400	63374
18500	63370
18600	65839
18700	69381
18800	75970
18900	86097
19000	101018
19100	124147
19200	158521
19300	210186
19400	283881
19500	384968
19600	520660
19700	683958
19800	865626
19900	1048365
20000	1198093
20100	1297874
20200	1323646
20300	1273289
20400	1166547
20500	1015091
20600	850289
20700	689866
20800	546844
20900	425644
21000	330035
21100	254358
21200	196966
21300	152804
21400	119780
21500	93198
21600	74346
21700	59144
21800	48175
21900	39136
22000	32678
22100	28284
22200	24690
22300	22284
22400	20293
22500	18990
22600	17896
22700	17350
22800	17159
22900	16687
23000	16213
23100	16651
23200	16312
23300	16605
23400	16509
23500	16819
23600	16957
23700	17719
23800	17695
23900	18119
24000	18975
24100	20396
24200	21940
24300	24402
24400	28204
24500	33139
24600	40883
24700	51357
24800	65854
24900	83901
25000	107414
25100	135581
25200	171153
25300	211710
25400	259584
25500	312372
25600	362422
25700	403323
25800	432578
25900	454656
26000	489242
26100	548618
26200	648381
26300	799034
26400	994204
26500	1211049
26600	1384931
26700	1443215
26800	1353282
26900	1157220
27000	916855
27100	672571
27200	457413
27300	293570
27400	182599
27500	112570
27600	71728
27700	49596
27800	37797
27900	32363
28000	29687
28100	29009
28200	28778
28300	28966
28400	29522
28500	30371
28600	31337
