"Time differences (ps)"	"Normalized correlation g(2)"
-50000	2.7750842700169716
-49900	2.5928910816631405
-49800	2.435646039725257
-49700	2.3113407475726997
-49600	2.205605687608604
-49500	2.105352047904275
-49400	2.040548341094885
-49300	1.9661905700009483
-49200	1.9051009096292506
-49100	1.864297627041362
-49000	1.8324848982440252
-48900	1.7989560238513407
-48800	1.814734317683192
-48700	1.803899547730476
-48600	1.8335350768919243
-48500	1.8747481852936272
-48400	1.9225185067163595
-48300	2.023643026275044
-48200	2.1411605783863017
-48100	2.318154101727363
-48000	2.5282666736472943
-47900	2.822931433779794
-47800	3.216082459794548
-47700	3.715199072793668
-47600	4.335572898455102
-47500	5.122643373885512
-47400	6.127561883471599
-47300	7.2784552251156756
-47200	8.692661652135456
-47100	10.35358321907146
-47000	12.258325531113623
-46900	14.371694796500641
-46800	16.61400550855899
-46700	18.912462357109902
-46600	21.105773270304077
-46500	23.204030208806692
-46400	24.881088667161634
-46300	26.052012245455884
-46200	26.692057710180407
-46100	26.81641423055969
-46000	26.21453379474663
-45900	25.18259239556216
-45800	23.702634539538543
-45700	21.79161676972235
-45600	19.720818160745292
-45500	17.4994597934182
-45400	15.349820943508616
-45300	13.227358667877592
-45200	11.357528392349737
-45100	9.692534181388954
-45000	8.303660112485572
-44900	7.2009981463047685
-44800	6.364518046196369
-44700	5.721731871341964
-44600	5.298074436311406
-44500	4.942089488786939
-44400	4.728519011562949
-44300	4.539256327920821
-44200	4.388261129643606
-44100	4.268259008536099
-44000	4.156248490797972
-43900	4.037270934225001
-43800	3.926233752794682
-43700	3.8157856959717216
-43600	3.705798693189302
-43500	3.628674597852119
-43400	3.5543680549849093
-43300	3.4930734817063045
-43200	3.4141051702069567
-43100	3.294487260799901
-43000	3.1799409458387973
-42900	3.023028887374638
-42800	2.869421049534356
-42700	2.741299254490653
-42600	2.6115893844184193
-42500	2.4800609122973847
-42400	2.3947915289106416
-42300	2.30176106917479
-42200	2.211240792548551
-42100	2.1336044149441
-42000	2.0256153130040255
-41900	1.9284609810166673
-41800	1.8141195789624707
-41700	1.7196291147649054
-41600	1.6056975385245233
-41500	1.5211709644253189
-41400	1.4440468690881356
-41300	1.3656932963095094
-41200	1.3252998395354352
-41100	1.2539133055916525
-41000	1.220896713466236
-40900	1.16329057251196
-40800	1.1321950388887982
-40700	1.1046086387964213
-40600	1.0606548202648352
-40500	1.034272283500538
-40400	1.0110402826799385
-40300	0.99377637027301
-40200	0.9649348786258269
-40100	0.9458779782834609
-40000	0.9189831592518959
-39900	0.8872985010213759
-39800	0.8774370673764686
-39700	0.8637079026136888
-39600	0.8501324225310893
-39500	0.8347895686264155
-39400	0.8229814623658903
-39300	0.810968443198458
-39200	0.8047442136511529
-39100	0.7935252319979857
-39000	0.7803851918425639
-38900	0.7707798993312908
-38800	0.7607647810062032
-38700	0.7590230212974923
-38600	0.7565128381878796
-38500	0.7548991490459857
-38400	0.7550272196128026
-38300	0.7563079252809725
-38200	0.7480089525512323
-38100	0.7573068757021448
-38000	0.7539258127381766
-37900	0.7640177734033544
-37800	0.7694223513230308
-37700	0.7602524987389353
-37600	0.7724192025865481
-37500	0.7873010024506807
-37400	0.8025670140152643
-37300	0.8204200510295508
-37200	0.8242109398073333
-37100	0.8408857276069036
-37000	0.8657058034560337
-36900	0.8860946376932963
-36800	0.8962122124718375
-36700	0.9266930073742778
-36600	0.9438288492143893
-36500	0.9679573440027076
-36400	0.998566209471965
-36300	1.0254866426168934
-36200	1.0693636188083895
-36100	1.0886510461710261
-36000	1.1293774864188246
-35900	1.1510982545509838
-35800	1.186292046312289
-35700	1.2162861730608248
-35600	1.2395950162215146
-35500	1.2787846096675093
-35400	1.3024520504152866
-35300	1.3316265255361939
-35200	1.3504528988582893
-35100	1.3847501966518756
-35000	1.4018604243786237
-34900	1.413924671772783
-34800	1.4436626573876847
-34700	1.4443798525618599
-34600	1.4400766815168093
-34500	1.4599020052600773
-34400	1.4679960650829103
-34300	1.4666641311880138
-34200	1.4723504643546874
-34100	1.4787796068088996
-34000	1.468815716710539
-33900	1.4845171682023002
-33800	1.4729395889620456
-33700	1.4900754308021569
-33600	1.4650248279327565
-33500	1.4860796291174674
-33400	1.467202027568645
-33300	1.4586725278186343
-33200	1.4425612505130587
-33100	1.4454812594364859
-33000	1.435773510471759
-32900	1.424759441725499
-32800	1.4174081911902046
-32700	1.4106716793756315
-32600	1.3934333810820665
-32500	1.4052671014559552
-32400	1.4032948147269737
-32300	1.3990172577952869
-32200	1.3902060027982788
-32100	1.388797226563292
-32000	1.3874652926683955
-31900	1.4041400804679658
-31800	1.4072906164116634
-31700	1.4000162082164591
-31600	1.3908975838590905
-31500	1.3792431622787455
-31400	1.3695866415407456
-31300	1.364105221280979
-31200	1.3312166997223795
-31100	1.334111094532443
-31000	1.3193829793484908
-30900	1.3090604916630426
-30800	1.2828316395789259
-30700	1.2785796967606022
-30600	1.249994346247053
-30500	1.2463827562628143
-30400	1.2188731985105277
-30300	1.2153640649797426
-30200	1.1802727296718911
-30100	1.1723323545292386
-30000	1.1475378927934718
-29900	1.14126243501944
-29800	1.12194939354344
-29700	1.1138041054938803
-29600	1.0893170131184744
-29500	1.0765355705501403
-29400	1.0451326675666175
-29300	1.0291494608278589
-29200	1.0207480316446653
-29100	0.9905489919892222
-29000	0.9809949277046758
-28900	0.9612720604148615
-28800	0.9484906178465272
-28700	0.9225179068960444
-28600	0.9048953969020285
-28500	0.8963915112653812
-28400	0.8772065403561982
-28300	0.8617868441114341
-28200	0.8507727753651741
-28100	0.8371972952825747
-28000	0.8384780009507444
-27900	0.8338162323186066
-27800	0.8534878713816941
-27700	0.902538898472596
-27600	0.9997956869134079
-27500	1.2066552664361883
-27400	1.5891252071784066
-27300	2.308113369288912
-27200	3.5374627401650685
-27100	5.492255029719306
-27000	8.218262658532012
-26900	11.758005054786423
-26800	15.491569446861645
-26700	18.334377432611433
-26600	19.36145215025686
-26500	18.617643912297222
-26400	16.967121675386757
-26300	15.240294994766737
-26200	13.991299598940858
-26100	13.462137630966474
-26000	13.581704312146803
-25900	14.033690956557276
-25800	14.285119093332364
-25700	13.988020992430343
-25600	13.134712419842192
-25500	11.813229083197903
-25400	10.379351017115034
-25300	8.910893897991583
-25200	7.331425211551177
-25100	5.87303443897954
-25000	4.51661345170758
-24900	3.3884910568435616
-24800	2.4920483173514536
-24700	1.8444979174114575
-24600	1.3869273962877642
-24500	1.0859359501545063
-24400	0.884711475571673
-24300	0.7795911543282987
-24200	0.6955512483829989
-24100	0.6599732449212428
-24000	0.634845799711752
-23900	0.6034941249549561
-23800	0.591557948127614
-23700	0.5842066975923196
-23600	0.5788021196726432
-23500	0.5624090871200701
-23400	0.561819962512712
-23300	0.5486286941305635
-23200	0.5405346343077306
-23100	0.5408420036680913
-23000	0.5352325128415077
-22900	0.5288545986140223
-22800	0.5287265280472053
-22700	0.5297767066951046
-22600	0.5334139107927067
-22500	0.5373072560239428
-22400	0.5620504895329826
-22300	0.589355134378362
-22200	0.6256759471276565
-22100	0.6860484123251792
-22000	0.7725216590400016
-21900	0.9094547090807128
-21800	1.0976415999615778
-21700	1.3426918225091806
-21600	1.6977290478392024
-21500	2.184474044083803
-21400	2.8597389146829926
-21300	3.7705511717719653
-21200	4.984557688743448
-21100	6.578114137533722
-21000	8.546814890644283
-20900	10.908666669769598
-20800	13.615643012353301
-20700	16.49223601362941
-20600	19.290449828013525
-20500	21.69938034750076
-20400	23.394419913436806
-20300	23.863619242027482
-20200	23.13325841358363
-20100	21.134051251457265
-20000	18.29075659755357
-19900	14.91719856880087
-19800	11.673555323027308
-19700	8.857770226875902
-19600	6.592483655130587
-19500	4.888427921290626
-19400	3.7089748432463634
-19300	2.8864800490343776
-19200	2.3317808100366895
-19100	1.9923169656316115
-19000	1.752517636323505
-18900	1.637100441508046
-18800	1.575216743622083
-18700	1.5453250733270005
-18600	1.5572612501543428
-18500	1.5895350329922209
-18400	1.6267267255958708
-18300	1.6893532327693723
-18200	1.755693786380566
-18100	1.8367880692890755
-18000	1.8986205389483117
-17900	1.979125697249463
-17800	2.0579403240686305
-17700	2.166672235296243
-17600	2.237418416405941
-17500	2.3227646421327743
-17400	2.408367008993241
-17300	2.4923044584850875
-17200	2.581825784690154
-17100	2.648781077022069
-17000	2.7334869499148176
-16900	2.80471979917842
-16800	2.8527206476214224
-16700	2.952026565131306
-16600	3.006584626595338
-16500	3.0518703790218207
-16400	3.1078628308342027
-16300	3.1658531834889296
-16200	3.2308618032052268
-16100	3.280886166603938
-16000	3.312570824834458
-15900	3.361570623698633
-15800	3.3933577383826066
-15700	3.4300883769457156
-15600	3.4635916372250364
-15500	3.465640766294108
-15400	3.4746313200846597
-15300	3.4843390690493865
-15200	3.468560775217535
-15100	3.461107068228787
-15000	3.4192792211063625
-14900	3.415283419421673
-14800	3.3789626066723786
-14700	3.3708685468495454
-14600	3.3101630981782986
-14500	3.2770440495994286
-14400	3.2523264302037522
-14300	3.2124964839236725
-14200	3.171770043675874
-14100	3.1450032952111258
-14000	3.099717542784643
-13900	3.071209034611184
-13800	3.0310717189707437
-13700	2.972005573554754
-13600	2.9206236621477832
-13500	2.867090165218287
-13400	2.818090366354112
-13300	2.7598182584523876
-13200	2.7001886025424033
-13100	2.6246269681203875
-13000	2.5660474908583026
-12900	2.498118862218578
-12800	2.4389246462357717
-12700	2.3686651332799786
-12600	2.3138509306823125
-12500	2.2697946556972726
-12400	2.2214352096671823
-12300	2.1865744013796014
-12200	2.1610371303562963
-12100	2.1155720791362698
-12000	2.09905097601688
-11900	2.094030609797654
-11800	2.0720793146452245
-11700	2.0558911949995586
-11600	2.036142713596381
-11500	2.0212352996188847
-11400	2.00822333003028
-11300	1.9879625663598344
-11200	1.956047381109044
-11100	1.9188813026187574
-11000	1.8927036787613674
-10900	1.8526688195743806
-10800	1.8413217673543965
-10700	1.8122241345735794
-10600	1.8043349876576538
-10500	1.7739822633220304
-10400	1.753875184331765
-10300	1.748368149958635
-10200	1.7441930494804014
-10100	1.7251361491380355
-10000	1.7175287574691072
-9900	1.7026469576049743
-9800	1.6948602671425022
-9700	1.6637903476327038
-9600	1.6596664753811972
-9500	1.6381250060425816
-9400	1.628801468778306
-9300	1.6039813929291757
-9200	1.5927624112760086
-9100	1.5905339834133934
-9000	1.5755241129824435
-8900	1.5755753412091704
-8800	1.5757290258893508
-8700	1.5469643765822578
-8600	1.5444541934726452
-8500	1.5349001291880988
-8400	1.5151772618982844
-8300	1.5201207857774197
-8200	1.5165860381332712
-8100	1.50231897698986
-8000	1.4950957970213825
-7900	1.4923807010048626
-7800	1.4863101561377379
-7700	1.4864126125911914
-7600	1.4852599774898387
-7500	1.4977596648111755
-7400	1.5042912637188413
-7300	1.513666029209844
-7200	1.5096702275251543
-7100	1.5168421792669051
-7000	1.531032398070226
-6900	1.5547254529313668
-6800	1.5732444568931014
-6700	1.6072599994396903
-6600	1.6445541484967938
-6500	1.6755216115531388
-6400	1.7241884269435899
-6300	1.7574611602026402
-6200	1.8239810126073779
-6100	2.006609640888386
-6000	0.6706031019670519
-5900	0.0009221080810822301
-5800	0
-5700	0
-5600	0
-5500	0
-5400	0
-5300	0
-5200	0
-5100	0
-5000	0
-4900	0
-4800	0
-4700	0
-4600	0
-4500	0
-4400	0
-4300	0
-4200	0
-4100	0
-4000	0
-3900	0
-3800	0
-3700	0
-3600	0
-3500	0
-3400	0
-3300	0
-3200	0
-3100	0
-3000	0
-2900	0
-2800	0
-2700	0
-2600	0
-2500	0
-2400	0
-2300	0
-2200	0
-2100	0
-2000	0
-1900	0
-1800	0
-1700	0
-1600	0
-1500	0
-1400	0
-1300	0
-1200	0
-1100	0
-1000	0
-900	0
-800	0
-700	0
-600	0
-500	0
-400	0
-300	0
-200	0
-100	0
0	1960.131884468311
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0.0007940375142652537
