2024-06-04 08:48:30

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
4.2	-0.001	-0.001	-0.001	-0.002	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	2000.0
4.3	0.0	0.0	-0.0	0.001	-0.003	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
4.4	-0.001	-0.001	-0.001	-0.002	0.001	0.001	0.003	-0.002	0	0	0	0	0	0	0	0	2000.0
4.5	0.002	0.002	-0.001	-0.002	-0.0	0.0	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
4.6	-0.001	0.0	-0.0	-0.001	-0.001	-0.003	0.004	-0.001	0	0	0	0	0	0	0	0	2000.0
4.7	0.002	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
4.8	-0.001	-0.001	0.002	-0.002	0.001	0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
4.9	0.0	0.0	-0.0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
5.0	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
5.1	0.0	0.002	0.002	-0.001	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
5.2	0.002	-0.001	-0.0	-0.001	-0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
5.3	0.0	0.0	0.002	-0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
5.4	-0.001	-0.001	-0.001	-0.002	-0.0	0.002	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
5.5	0.002	0.0	0.002	-0.001	0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
5.6	-0.001	-0.001	0.001	-0.002	-0.0	0.0	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
5.7	0.0	0.002	0.002	-0.001	-0.002	-0.002	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
5.8	0.0	0.0	-0.0	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
5.9	0.002	0.0	0.002	-0.001	-0.002	-0.002	0.001	-0.002	0	0	0	0	0	0	0	0	2000.0
6.0	0.0	0.0	-0.0	-0.001	-0.0	0.0	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
6.1	0.0	0.002	-0.0	0.004	0.002	0.002	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
6.2	0.0	0.0	-0.0	0.001	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
6.3	0.002	0.002	0.002	0.001	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
6.4	-0.001	-0.001	-0.001	-0.002	-0.001	0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
6.5	0.002	-0.001	-0.001	-0.002	0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
6.6	0.002	0.0	-0.0	-0.001	-0.002	-0.002	-0.002	-0.002	0	0	0	0	0	0	0	0	2000.0
6.7	0.002	-0.001	0.002	0.001	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
6.8	0.0	0.0	-0.0	-0.001	-0.001	0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
6.9	-0.001	-0.001	-0.001	-0.002	0.002	0.002	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
7.0	0.0	0.001	-0.001	-0.002	-0.002	-0.004	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
7.1	0.0	0.0	0.002	-0.001	-0.001	-0.001	-0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
7.2	-0.001	-0.001	-0.001	-0.002	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
7.3	0.002	-0.001	0.002	-0.002	0.002	-0.003	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
7.4	0.0	0.0	0.002	-0.001	-0.0	0.002	-0.0	0.0	0	0	0	0	0	0	0	0	2000.0
7.5	0.0	-0.001	-0.001	0.0	-0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
7.6	-0.001	-0.001	0.002	-0.002	0.002	0.002	0.002	0.0	0	0	0	0	0	0	0	0	2000.0
7.7	-0.001	0.002	-0.001	-0.002	0.001	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
7.8	0.001	0.001	-0.001	-0.002	-0.001	-0.001	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
7.9	-0.001	-0.001	-0.001	-0.002	0.002	0.0	-0.0	-0.003	0	0	0	0	0	0	0	0	2000.0
8.0	0.004	-0.001	-0.001	-0.002	-0.003	-0.001	0.001	-0.001	0	0	0	0	0	0	0	0	2000.0
8.1	-0.001	0.002	-0.001	-0.002	-0.001	-0.001	-0.003	-0.001	0	0	0	0	0	0	0	0	2000.0
8.2	0.0	0.002	0.005	0.001	0.002	0.0	-0.003	0.002	0	0	0	0	0	0	0	0	2000.0
8.3	-0.001	-0.001	0.002	-0.002	0.001	0.003	-0.002	0.001	0	0	0	0	0	0	0	0	2000.0
8.4	0.0	0.002	0.002	-0.001	-0.001	-0.001	-0.001	0.001	0	0	0	0	0	0	0	0	2000.0
8.5	0.0	0.0	-0.0	0.001	-0.002	-0.002	0.001	0.001	0	0	0	0	0	0	0	0	2000.0
