LECROYWS452,11807,Waveform
Segments,1,SegmentSize,502
Segment,TrigTime,TimeSinceSegment1
#1,25-Jul-2024 17:46:07,0                 
Time,Ampl
-2.2215e-007,0
-2.2115e-007,0
-2.2015e-007,-0.03125
-2.1915e-007,0.03125
-2.1815e-007,-0.015625
-2.1715e-007,0
-2.1615e-007,0.015625
-2.1515e-007,0
-2.1415e-007,0.03125
-2.1315e-007,0.015625
-2.1215e-007,0
-2.1115e-007,0
-2.1015e-007,0
-2.0915e-007,-0.015625
-2.0815e-007,-0.015625
-2.0715e-007,0.03125
-2.0615e-007,-0.03125
-2.0515e-007,0.015625
-2.0415e-007,0.015625
-2.0315e-007,-0.03125
-2.0215e-007,0.03125
-2.0115e-007,-0.015625
-2.0015e-007,0
-1.9915e-007,-0.015625
-1.9815e-007,-0.03125
-1.9715e-007,0.015625
-1.9615e-007,-0.015625
-1.9515e-007,0.015625
-1.9415e-007,-0.015625
-1.9315e-007,0.015625
-1.9215e-007,0
-1.9115e-007,0
-1.9015e-007,0
-1.8915e-007,-0.015625
-1.8815e-007,0
-1.8715e-007,0.015625
-1.8615e-007,0
-1.8515e-007,0
-1.8415e-007,-0.015625
-1.8315e-007,-0.03125
-1.8215e-007,0.03125
-1.8115e-007,-0.03125
-1.8015e-007,0
-1.7915e-007,-0.015625
-1.7815e-007,0.03125
-1.7715e-007,-0.03125
-1.7615e-007,0
-1.7515e-007,-0.015625
-1.7415e-007,0
-1.7315e-007,-0.03125
-1.7215e-007,0
-1.7115e-007,0.015625
-1.7015e-007,-0.015625
-1.6915e-007,-0.03125
-1.6815e-007,0
-1.6715e-007,0
-1.6615e-007,0
-1.6515e-007,0
-1.6415e-007,0
-1.6315e-007,0
-1.6215e-007,0
-1.6115e-007,0
-1.6015e-007,0
-1.5915e-007,-0.015625
-1.5815e-007,0
-1.5715e-007,-0.015625
-1.5615e-007,-0.015625
-1.5515e-007,0
-1.5415e-007,-0.015625
-1.5315e-007,0.03125
-1.5215e-007,-0.015625
-1.5115e-007,0.03125
-1.5015e-007,0
-1.4915e-007,-0.03125
-1.4815e-007,0
-1.4715e-007,0
-1.4615e-007,-0.03125
-1.4515e-007,0.03125
-1.4415e-007,0
-1.4315e-007,0.015625
-1.4215e-007,0.015625
-1.4115e-007,0
-1.4015e-007,-0.015625
-1.3915e-007,0.015625
-1.3815e-007,0
-1.3715e-007,-0.015625
-1.3615e-007,-0.015625
-1.3515e-007,0
-1.3415e-007,0.03125
-1.3315e-007,0.015625
-1.3215e-007,0
-1.3115e-007,0
-1.3015e-007,0
-1.2915e-007,0.015625
-1.2815e-007,-0.015625
-1.2715e-007,-0.03125
-1.2615e-007,-0.015625
-1.2515e-007,0.015625
-1.2415e-007,0
-1.2315e-007,-0.015625
-1.2215e-007,0.015625
-1.2115e-007,-0.03125
-1.2015e-007,0.015625
-1.1915e-007,-0.015625
-1.1815e-007,0
-1.1715e-007,0.015625
-1.1615e-007,-0.015625
-1.1515e-007,0.03125
-1.1415e-007,-0.015625
-1.1315e-007,-0.015625
-1.1215e-007,0.015625
-1.1115e-007,-0.015625
-1.1015e-007,0.015625
-1.0915e-007,-0.015625
-1.0815e-007,0
-1.0715e-007,0
-1.0615e-007,0
-1.0515e-007,0
-1.0415e-007,0
-1.0315e-007,0.015625
-1.0215e-007,-0.03125
-1.0115e-007,0
-1.0015e-007,-0.015625
-9.915e-008,-0.015625
-9.815e-008,0.015625
-9.715e-008,-0.015625
-9.615e-008,0.015625
-9.515e-008,0.015625
-9.415e-008,0
-9.315e-008,0
-9.215e-008,0
-9.115e-008,0.03125
-9.015e-008,0
-8.915e-008,-0.015625
-8.815e-008,0
-8.715e-008,-0.015625
-8.615e-008,0
-8.515e-008,0.015625
-8.415e-008,0.015625
-8.315e-008,-0.03125
-8.215e-008,0
-8.115e-008,-0.015625
-8.015e-008,-0.015625
-7.915e-008,0
-7.815e-008,-0.03125
-7.715e-008,0.015625
-7.615e-008,-0.015625
-7.515e-008,0
-7.415e-008,0
-7.315e-008,0
-7.215e-008,-0.015625
-7.115e-008,0.03125
-7.015e-008,0.015625
-6.915e-008,-0.046875
-6.815e-008,-0.015625
-6.715e-008,0
-6.615e-008,0.046875
-6.515e-008,0
-6.415e-008,-0.015625
-6.315e-008,-0.015625
-6.215e-008,0
-6.115e-008,-0.015625
-6.015e-008,0
-5.915e-008,0
-5.815e-008,0.015625
-5.715e-008,-0.015625
-5.615e-008,-0.015625
-5.515e-008,0
-5.415e-008,0.015625
-5.315e-008,-0.015625
-5.215e-008,0
-5.115e-008,0.015625
-5.015e-008,-0.015625
-4.915e-008,-0.015625
-4.815e-008,0
-4.715e-008,0
-4.615e-008,0
-4.515e-008,0
-4.415e-008,0.015625
-4.315e-008,-0.015625
-4.215e-008,0
-4.115e-008,0.03125
-4.015e-008,0
-3.915e-008,0
-3.815e-008,-0.015625
-3.715e-008,0.015625
-3.615e-008,0.03125
-3.515e-008,-0.03125
-3.415e-008,0.015625
-3.315e-008,-0.046875
-3.215e-008,0.015625
-3.115e-008,0
-3.015e-008,0
-2.915e-008,-0.03125
-2.815e-008,0
-2.715e-008,0.015625
-2.615e-008,0.015625
-2.515e-008,0.015625
-2.415e-008,-0.015625
-2.315e-008,0.015625
-2.215e-008,-0.015625
-2.115e-008,0.015625
-2.015e-008,0
-1.915e-008,0
-1.815e-008,0.015625
-1.715e-008,0.015625
-1.615e-008,-0.015625
-1.515e-008,0.015625
-1.415e-008,-0.03125
-1.315e-008,0.015625
-1.215e-008,-0.015625
-1.115e-008,0
-1.015e-008,-0.015625
-9.15e-009,-0.03125
-8.15e-009,0
-7.15e-009,0
-6.15e-009,-0.015625
-5.15e-009,-0.015625
-4.15e-009,0.03125
-3.15e-009,0.015625
-2.15e-009,-0.03125
-1.15e-009,0.046875
-1.5e-010,0.28125
8.5e-010,0.6875
1.85e-009,0.59375
2.85e-009,0.359375
3.85e-009,0.296875
4.85e-009,0.3125
5.85e-009,0.25
6.85e-009,0.296875
7.85e-009,0.21875
8.85e-009,0.21875
9.85e-009,0.125
1.085e-008,0.15625
1.185e-008,0.125
1.285e-008,0.140625
1.385e-008,0.109375
1.485e-008,0.109375
1.585e-008,0.109375
1.685e-008,0.125
1.785e-008,0.09375
1.885e-008,0.0625
1.985e-008,0.09375
2.085e-008,0.046875
2.185e-008,0.03125
2.285e-008,0.0625
2.385e-008,0.03125
2.485e-008,0.125
2.585e-008,0.125
2.685e-008,0.1875
2.785e-008,0.25
2.885e-008,0.203125
2.985e-008,0.1875
3.085e-008,0.203125
3.185e-008,0.203125
3.285e-008,0.1875
3.385e-008,0.1875
3.485e-008,0.203125
3.585e-008,0.140625
3.685e-008,0.171875
3.785e-008,0.109375
3.885e-008,0.109375
3.985e-008,0.109375
4.085e-008,0.078125
4.185e-008,0.109375
4.285e-008,0.09375
4.385e-008,0.125
4.485e-008,0.078125
4.585e-008,0.078125
4.685e-008,0.09375
4.785e-008,0.09375
4.885e-008,0.0625
4.985e-008,0.078125
5.085e-008,0.109375
5.185e-008,0.15625
5.285e-008,0.109375
5.385e-008,0.140625
5.485e-008,0.15625
5.585e-008,0.125
5.685e-008,0.125
5.785e-008,0.15625
5.885e-008,0.15625
5.985e-008,0.109375
6.085e-008,0.140625
6.185e-008,0.125
6.285e-008,0.125
6.385e-008,0.078125
6.485e-008,0.125
6.585e-008,0.078125
6.685e-008,0.109375
6.785e-008,0.0625
6.885e-008,0.09375
6.985e-008,0.0625
7.085e-008,0.109375
7.185e-008,0.0625
7.285e-008,0.09375
7.385e-008,0.046875
7.485e-008,0.0625
7.585e-008,0.046875
7.685e-008,0.09375
7.785e-008,0.046875
7.885e-008,0.03125
7.985e-008,0.046875
8.085e-008,0.03125
8.185e-008,0.046875
8.285e-008,0.046875
8.385e-008,0.0625
8.485e-008,0.078125
8.585e-008,0.0625
8.685e-008,0.015625
8.785e-008,0.0625
8.885e-008,0.015625
8.985e-008,0.015625
9.085e-008,0.03125
9.185e-008,0.0625
9.285e-008,0.0625
9.385e-008,0.046875
9.485e-008,0.046875
9.585e-008,0.046875
9.685e-008,0.046875
9.785e-008,0.078125
9.885e-008,0.0625
9.985e-008,0.015625
1.0085e-007,0.015625
1.0185e-007,0.046875
1.0285e-007,0.046875
1.0385e-007,0.03125
1.0485e-007,0.03125
1.0585e-007,0.09375
1.0685e-007,0.0625
1.0785e-007,0.046875
1.0885e-007,0.0625
1.0985e-007,0.046875
1.1085e-007,0.0625
1.1185e-007,0.0625
1.1285e-007,0.046875
1.1385e-007,0.0625
1.1485e-007,0.03125
1.1585e-007,0.078125
1.1685e-007,0.015625
1.1785e-007,0.0625
1.1885e-007,0.0625
1.1985e-007,0.0625
1.2085e-007,0.03125
1.2185e-007,0.03125
1.2285e-007,0
1.2385e-007,0.015625
1.2485e-007,0.015625
1.2585e-007,0.03125
1.2685e-007,0.0625
1.2785e-007,0.015625
1.2885e-007,0.03125
1.2985e-007,0
1.3085e-007,0
1.3185e-007,0.03125
1.3285e-007,0
1.3385e-007,0.015625
1.3485e-007,0
1.3585e-007,0.03125
1.3685e-007,0
1.3785e-007,-0.015625
1.3885e-007,0.015625
1.3985e-007,0
1.4085e-007,0.046875
1.4185e-007,0
1.4285e-007,0
1.4385e-007,0
1.4485e-007,0.03125
1.4585e-007,0.015625
1.4685e-007,0.03125
1.4785e-007,0.03125
1.4885e-007,0
1.4985e-007,0.03125
1.5085e-007,0
1.5185e-007,0
1.5285e-007,-0.015625
1.5385e-007,0
1.5485e-007,0
1.5585e-007,-0.046875
1.5685e-007,0
1.5785e-007,-0.015625
1.5885e-007,0.015625
1.5985e-007,0
1.6085e-007,0
1.6185e-007,0.015625
1.6285e-007,0.015625
1.6385e-007,0.03125
1.6485e-007,0.046875
1.6585e-007,0.03125
1.6685e-007,0.015625
1.6785e-007,0.015625
1.6885e-007,0.015625
1.6985e-007,-0.015625
1.7085e-007,0.03125
1.7185e-007,0.015625
1.7285e-007,0.046875
1.7385e-007,0.015625
1.7485e-007,0.03125
1.7585e-007,-0.03125
1.7685e-007,-0.015625
1.7785e-007,0.015625
1.7885e-007,0
1.7985e-007,-0.015625
1.8085e-007,0.015625
1.8185e-007,0.0625
1.8285e-007,0
1.8385e-007,-0.03125
1.8485e-007,0.03125
1.8585e-007,-0.015625
1.8685e-007,0.046875
1.8785e-007,0
1.8885e-007,0.046875
1.8985e-007,0.015625
1.9085e-007,0.03125
1.9185e-007,0.03125
1.9285e-007,0.046875
1.9385e-007,0.03125
1.9485e-007,0.015625
1.9585e-007,0.03125
1.9685e-007,0.03125
1.9785e-007,0.015625
1.9885e-007,0.015625
1.9985e-007,0.03125
2.0085e-007,-0.015625
2.0185e-007,0.015625
2.0285e-007,0
2.0385e-007,0
2.0485e-007,0.03125
2.0585e-007,0
2.0685e-007,-0.015625
2.0785e-007,0.0625
2.0885e-007,0.03125
2.0985e-007,0
2.1085e-007,0.015625
2.1185e-007,0.03125
2.1285e-007,0.015625
2.1385e-007,0.015625
2.1485e-007,0.015625
2.1585e-007,0.015625
2.1685e-007,0
2.1785e-007,0
2.1885e-007,0.03125
2.1985e-007,0
2.2085e-007,0.046875
2.2185e-007,0
2.2285e-007,-0.015625
2.2385e-007,0.015625
2.2485e-007,-0.03125
2.2585e-007,0.015625
2.2685e-007,0.015625
2.2785e-007,0.03125
2.2885e-007,0.015625
2.2985e-007,0.015625
2.3085e-007,0.015625
2.3185e-007,0.015625
2.3285e-007,0.046875
2.3385e-007,0
2.3485e-007,0.015625
2.3585e-007,0.015625
2.3685e-007,0.03125
2.3785e-007,0.015625
2.3885e-007,0.015625
2.3985e-007,0.03125
2.4085e-007,-0.03125
2.4185e-007,0.046875
2.4285e-007,-0.015625
2.4385e-007,-0.03125
2.4485e-007,0.046875
2.4585e-007,0
2.4685e-007,0.03125
2.4785e-007,0.015625
2.4885e-007,0.046875
2.4985e-007,0.015625
2.5085e-007,0.03125
2.5185e-007,0.015625
2.5285e-007,0.015625
2.5385e-007,-0.015625
2.5485e-007,0.03125
2.5585e-007,0
2.5685e-007,0.0625
2.5785e-007,0.03125
2.5885e-007,0.015625
2.5985e-007,0
2.6085e-007,0
2.6185e-007,0.03125
2.6285e-007,0.015625
2.6385e-007,-0.03125
2.6485e-007,0
2.6585e-007,0.015625
2.6685e-007,0.03125
2.6785e-007,0
2.6885e-007,0.015625
2.6985e-007,0
2.7085e-007,0.03125
2.7185e-007,0.03125
2.7285e-007,-0.015625
2.7385e-007,0
2.7485e-007,0.03125
2.7585e-007,0
2.7685e-007,0.015625
2.7785e-007,-0.015625
2.7885e-007,0.03125
