LECROYWS452,11807,Waveform
Segments,1,SegmentSize,502
Segment,TrigTime,TimeSinceSegment1
#1,25-Jul-2024 17:48:36,0                 
Time,Ampl
-2.22545e-007,0
-2.21545e-007,-0.03125
-2.20545e-007,-0.03125
-2.19545e-007,0
-2.18545e-007,0.03125
-2.17545e-007,-0.046875
-2.16545e-007,-0.015625
-2.15545e-007,-0.03125
-2.14545e-007,0.015625
-2.13545e-007,0.015625
-2.12545e-007,-0.03125
-2.11545e-007,0.015625
-2.10545e-007,0.015625
-2.09545e-007,-0.015625
-2.08545e-007,-0.03125
-2.07545e-007,0.03125
-2.06545e-007,-0.03125
-2.05545e-007,0
-2.04545e-007,-0.046875
-2.03545e-007,0
-2.02545e-007,0
-2.01545e-007,0
-2.00545e-007,-0.046875
-1.99545e-007,0
-1.98545e-007,-0.03125
-1.97545e-007,0
-1.96545e-007,-0.015625
-1.95545e-007,-0.015625
-1.94545e-007,0
-1.93545e-007,-0.015625
-1.92545e-007,-0.015625
-1.91545e-007,0.015625
-1.90545e-007,0
-1.89545e-007,0
-1.88545e-007,-0.015625
-1.87545e-007,0
-1.86545e-007,0.015625
-1.85545e-007,-0.046875
-1.84545e-007,0
-1.83545e-007,0.015625
-1.82545e-007,0
-1.81545e-007,0
-1.80545e-007,-0.03125
-1.79545e-007,0.015625
-1.78545e-007,-0.03125
-1.77545e-007,0
-1.76545e-007,-0.046875
-1.75545e-007,0
-1.74545e-007,-0.015625
-1.73545e-007,-0.03125
-1.72545e-007,-0.015625
-1.71545e-007,0
-1.70545e-007,0
-1.69545e-007,-0.03125
-1.68545e-007,0
-1.67545e-007,0
-1.66545e-007,-0.015625
-1.65545e-007,-0.03125
-1.64545e-007,0.03125
-1.63545e-007,-0.046875
-1.62545e-007,0
-1.61545e-007,0.015625
-1.60545e-007,-0.03125
-1.59545e-007,0
-1.58545e-007,0.015625
-1.57545e-007,0
-1.56545e-007,0
-1.55545e-007,-0.03125
-1.54545e-007,-0.03125
-1.53545e-007,-0.046875
-1.52545e-007,-0.015625
-1.51545e-007,0
-1.50545e-007,-0.03125
-1.49545e-007,0.03125
-1.48545e-007,-0.03125
-1.47545e-007,-0.015625
-1.46545e-007,-0.015625
-1.45545e-007,0.015625
-1.44545e-007,-0.03125
-1.43545e-007,0
-1.42545e-007,0.015625
-1.41545e-007,-0.015625
-1.40545e-007,-0.03125
-1.39545e-007,-0.03125
-1.38545e-007,0
-1.37545e-007,0
-1.36545e-007,-0.015625
-1.35545e-007,0.015625
-1.34545e-007,-0.015625
-1.33545e-007,-0.03125
-1.32545e-007,0
-1.31545e-007,-0.046875
-1.30545e-007,-0.015625
-1.29545e-007,-0.015625
-1.28545e-007,-0.03125
-1.27545e-007,0
-1.26545e-007,-0.015625
-1.25545e-007,-0.03125
-1.24545e-007,0.015625
-1.23545e-007,0
-1.22545e-007,-0.015625
-1.21545e-007,-0.046875
-1.20545e-007,-0.046875
-1.19545e-007,0.015625
-1.18545e-007,-0.03125
-1.17545e-007,0.015625
-1.16545e-007,0
-1.15545e-007,-0.015625
-1.14545e-007,-0.015625
-1.13545e-007,-0.03125
-1.12545e-007,0
-1.11545e-007,0
-1.10545e-007,-0.015625
-1.09545e-007,-0.046875
-1.08545e-007,0
-1.07545e-007,0
-1.06545e-007,-0.0625
-1.05545e-007,-0.03125
-1.04545e-007,-0.015625
-1.03545e-007,-0.015625
-1.02545e-007,0.015625
-1.01545e-007,0.03125
-1.00545e-007,-0.03125
-9.9545e-008,0
-9.8545e-008,0
-9.7545e-008,-0.046875
-9.6545e-008,0
-9.5545e-008,-0.03125
-9.4545e-008,0
-9.3545e-008,0
-9.2545e-008,0
-9.1545e-008,-0.015625
-9.0545e-008,0.015625
-8.9545e-008,-0.046875
-8.8545e-008,0
-8.7545e-008,-0.03125
-8.6545e-008,-0.03125
-8.5545e-008,-0.015625
-8.4545e-008,-0.03125
-8.3545e-008,-0.046875
-8.2545e-008,0
-8.1545e-008,-0.015625
-8.0545e-008,-0.046875
-7.9545e-008,0
-7.8545e-008,0
-7.7545e-008,0
-7.6545e-008,-0.015625
-7.5545e-008,-0.046875
-7.4545e-008,0
-7.3545e-008,0
-7.2545e-008,-0.046875
-7.1545e-008,0
-7.0545e-008,0.03125
-6.9545e-008,0
-6.8545e-008,-0.03125
-6.7545e-008,-0.015625
-6.6545e-008,-0.015625
-6.5545e-008,0.015625
-6.4545e-008,-0.03125
-6.3545e-008,0
-6.2545e-008,0.03125
-6.1545e-008,0.53125
-6.0545e-008,0.640625
-5.9545e-008,0.5
-5.8545e-008,0.34375
-5.7545e-008,0.296875
-5.6545e-008,0.296875
